type	lineA	lineB	witA	witB	A_form	A_lemma	A_pos	B_form	B_lemma	B_pos
pos_diff	229	231	Cliges_A	Cliges_P	chargiees	chargier	VERppe	cargier	chargier	VERinf
lexicale	230	232	Cliges_A	Cliges_P	vin	vin	NOMcom	pain	pain	NOMcom
lexicale	230	232	Cliges_A	Cliges_P	char	char2	NOMcom	car	car	CONcoo
lexicale	234	236	Cliges_A	Cliges_P	Et	et	CONcoo	Einsanle	ensemble	ADVgen
lexicale	234	236	Cliges_A	Cliges_P	avuec	avuec	PRE	o	o4	PRE
lexicale	235	237	Cliges_A	Cliges_P	lie	lié1	ADJqua	liet	lever	ADVgen
ajout	236	238	Cliges_A	Cliges_P				Et	et	CONcoo
pos_diff	237	239	Cliges_A	Cliges_P	empereriz	empererriz	VERcjg	empeerris	empererriz	NOMcom
lexicale	238	240	Cliges_A	Cliges_P	lez	lez	PRE	les	il	PROper
lexicale	238	240	Cliges_A	Cliges_P	la	le	DETdef	le	il	PROper
pos_diff	238	240	Cliges_A	Cliges_P	faloise	falir	NOMcom	faloise	falir	VERppe
lexicale	240	242	Cliges_A	Cliges_P	orez	ore3	NOMcom	mers	mer	NOMcom
pos_diff	240	242	Cliges_A	Cliges_P	soes	suen	PROpos	soes	suen	ADJqua
lexicale	241	243	Cliges_A	Cliges_P	dolz	douz	ADJqua	dous	deus	ADJqua
lexicale	244	246	Cliges_A	Cliges_P	Au	a3+le	PRE.DETdef	Congie	congié	NOMpro
lexicale	244	246	Cliges_A	Cliges_P	congie	congié	NOMcom	prent	prendre	VERcjg
lexicale	244	246	Cliges_A	Cliges_P	de	de	PRE	a	a3	PRE
lexicale	245	247	Cliges_A	Cliges_P	le	le	DETdef	dolant	dolent	ADJqua
lexicale	245	247	Cliges_A	Cliges_P	cuer	cuer2	NOMcom	ot	avoir	VERcjg
lexicale	245	247	Cliges_A	Cliges_P	a	avoir	VERcjg	le	le	DETdef
lexicale	245	247	Cliges_A	Cliges_P	dolant	dolent	ADJqua	cuer	cuer2	NOMcom
lexicale	246	248	Cliges_A	Cliges_P	De	de	PRE	Del	de+le	PRE.DETdef
lexicale	246	248	Cliges_A	Cliges_P	la	le	DETdef	batel	bataille	NOMcom
lexicale	246	248	Cliges_A	Cliges_P	nef	nef2	NOMcom	en	en1	PRE
lexicale	246	248	Cliges_A	Cliges_P	el	en1+le	PRE.DETdef	la	le	DETdef
lexicale	246	248	Cliges_A	Cliges_P	batel	bataille	NOMcom	nef	nef2	NOMcom
lexicale	247	249	Cliges_A	Cliges_P	avuec	avuec	PRE	apres	après	PRE
ajout	248	250	Cliges_A	Cliges_P				I	i2	PROadv
ajout	248	250	Cliges_A	Cliges_P				sont	estre1	VERcjg
lexicale	248	250	Cliges_A	Cliges_P	Ansanble	ensemble	NOMpro	entre	entre2	PRE
lexicale	248	250	Cliges_A	Cliges_P	quatre	catre	DETcar	tot	tot	ADVgen
lexicale	248	250	Cliges_A	Cliges_P	troi	trois	PROcar	dui	deus	PROcar
lexicale	249	251	Cliges_A	Cliges_P	Tancent	tencier	NOMpro	Quant	cant1	CONsub
